year_month,rows,mse,r2
201505,31966,9.425127072612037e-05,0.9950156355910061
201506,41506,0.00034378881938473767,0.9923970383768336
201507,40120,0.0002689128135388247,0.9838184683314806
201508,46561,0.0002524805425724324,0.9775314764732502
201509,60872,0.00042354698413264773,0.9791624522682437
201510,40850,0.0004244731559057803,0.9690408379447648
201511,33430,0.0001632908014412202,0.9772024229360057
201512,42711,0.0005373352709943151,0.930075393384459
201601,42363,0.0007696983439243864,0.9799061799027756
201602,41865,0.00034461991322221286,0.9795939467500014
201603,37399,0.00022107580638933087,0.978800712067164
201604,32249,0.000900764321281339,0.9699708886761255
201605,30191,0.0004919924804394778,0.9368882086039934
201606,35459,0.00020670417309706123,0.9739911661388111
201607,30600,0.0003636074304380113,0.9919852013094885
201608,33710,0.0001547066864208847,0.9927453632258607
201609,39285,0.0015986435313877947,0.973043932284588
201610,42675,0.00038059807009617767,0.9874914856047984
201611,37911,0.00012233641637591293,0.9716517175329251
201612,49028,0.00023988026401377096,0.9882099467161727
201701,40276,0.0006438294569270573,0.9840403300715557
201702,31899,5.421210804513169e-05,0.9748728735691651
201703,56917,0.0006000298096145028,0.980007457139854
201704,44791,0.0013569195524745319,0.9713247256255667
201705,42759,0.00017773442340478354,0.9865134446456604
201706,52083,0.00028770309681624046,0.9911656574092909
201707,44393,0.00025132833477980803,0.9923984247520884
201708,51675,0.0003092338773548093,0.9788722294585808
201709,47777,0.0003781864059248841,0.9863554394885885
201710,51401,0.0002376425574293158,0.9777844353090317
201711,50811,0.000318208072078061,0.9857711941373181
201712,70087,0.0005750843999532138,0.9906341909838744
201801,71400,0.0006291228116540117,0.9880783287519312
201802,75449,0.0008273818205577532,0.9812825341648123
201803,89345,0.001027187210254392,0.9792958893540068
201804,87150,0.000847428117436433,0.9856984465678484
201805,77491,0.00048506703916280353,0.9690040358649762
201806,86309,0.0005913618326328135,0.9861369175161064
201807,85635,0.0006575049918964902,0.9876124860803628
201808,92427,0.00041648700912287796,0.9872468474867038
201809,87038,0.0008532397016407937,0.9819668839796691
201810,111742,0.0009650645447771711,0.9833203701534674
201811,93882,0.0005487548263733905,0.978867766704713
201812,90169,0.0010894368983259876,0.9871801941411943
201901,90944,0.0010374612906109192,0.982892796504069
201902,71475,0.0006744396716809667,0.9749010747386482
201903,84363,0.0005089142257253976,0.9881164647970919
201904,86658,0.00048045804716582497,0.988266341494515
201905,83906,0.0017106504053228096,0.9770190548903059
201906,85822,0.0005562145078659151,0.9930065133761878
201907,90701,0.0005822326111848437,0.9924277840416651
201908,91462,0.0004651505773390018,0.9884713110190042
201909,77247,0.000505018717533309,0.9896443924422824
201910,95278,0.0005214588492952987,0.9888935204037078
201911,73889,8.298068610413657e-05,0.9845581833649673
201912,103912,0.0005047306870805964,0.9861684093990407
202001,97857,0.00044342899730600443,0.9850667148273512
202002,89565,0.000574918655792787,0.9821344583793897
202003,141712,0.0015695586189187296,0.9696010542781025
202004,109001,0.0010134595496217409,0.9755503243083582
202005,85566,0.0017217156367049424,0.9547921670206051
202006,99414,0.001422391223641632,0.9862757514497302
202007,99389,0.000617460157086636,0.985296544988655
202008,91158,0.0006876325284464038,0.9865962851059868
202009,117180,0.0012207033406520078,0.987180637428022
202010,111674,0.0016591605597317265,0.9855933807025612
202011,88946,0.0016498445094852232,0.982489949542938
202012,108456,0.0012494752347533469,0.9913635231651068
202101,107177,0.001388514206328203,0.993071666987021
202102,94965,0.000734116475640356,0.9854476995232703
202103,126428,0.0009000626175707979,0.9901360091032774
202104,108734,0.00045269117900337367,0.9679913342713506
202105,107166,0.0004068626605435331,0.984050083714276
202106,115190,0.0005814067977371536,0.9849353521372127
202107,118049,0.00018388186443584606,0.9738774672429071
202108,116406,0.0002968260055213034,0.9609220300362135
202109,118845,0.0009644042866436704,0.9852791300470024
202110,132684,0.0004880418983141635,0.9794082831703889
202111,138885,0.0006561071723282197,0.9761857179338801
202112,166875,0.000904970978705322,0.9901511504513681
202201,137960,0.0012906431541932853,0.9800640434089547
202202,121454,0.000814098437652964,0.9690652650304157
202203,145735,0.0005671530542017652,0.9517491922095711
202204,123023,0.0010869659023487867,0.9694693848818163
202205,137786,0.0013526386727439642,0.9504526623075855
202206,135776,0.0011579859442828581,0.9754257145373723
202207,131246,0.0014868930106195243,0.9678994501118916
202208,141498,0.0017208556914804953,0.9595716309022059
202209,148040,0.001985353156586015,0.9563509420736749
202210,145216,0.0012897033987294751,0.9664898163389507
202211,144266,0.0043732118765618016,0.8908912052624389
202212,142662,0.002259885253721659,0.973477310485774
202301,120234,0.002393836669994409,0.9438267794707048
202302,121288,0.002102006391735456,0.9652483176550251
202303,146924,0.0013364263731217452,0.9501522047140982
202304,120991,0.0016032623877978546,0.9633985070276216
202305,138022,0.0020733460406511606,0.9654637383236157
202306,139469,0.0016797742168832464,0.9622709076087067
202307,134866,0.002029489625012768,0.9592653373771528
202308,157649,0.0030300961043734577,0.9384777787926808
202309,142402,0.0017672176039451597,0.9588628229990944
202310,159402,0.0019353525983877773,0.9729181979216989
202311,150464,0.00182910445658025,0.9505795863500867
202312,153031,0.0018850548267966367,0.9708792205819131
